,Unnamed: 0,scores,names
6,6,0.0032735273012628823,num_paid_employees
13,13,0.003261453601114649,fedr_nutr
7,7,0.00305158642970815,first_quarter_payroll
45,45,0.003051148562220058,outstanding_debt
12,12,0.003034587049692473,fed_dis
79,79,0.0029738582473657557,num_state_local
8,8,0.002900656889978661,annual_payroll
101,101,0.0026989405740032064,number_returns_net_premium_credits
16,16,0.002662313704600236,str_gen_formula_ass
37,37,0.002583789181295759,t_curs_staff_support
73,73,0.002441637156733201,num_dep
92,92,0.0023300564770261877,taxable_amount
86,86,0.002299921551294589,education_expense_amount
81,81,0.002111120918488618,num_business_professional
36,36,0.002065147201522139,t_curs_pupil
10,10,0.0020496705550112847,tfedrev
69,69,0.0019835164269092352,num_single_returns
41,41,0.001982257287680718,t_cur_other
46,46,0.001957788610228056,long_debt_issued
78,78,0.0018696415351122985,sallaries_wages_amount
100,100,0.0018199509533946114,refundable_edu_amount
96,96,0.001672841236667222,non_refund_edu_amount
85,85,0.0016722309862967346,num_educator_expenses
15,15,0.001647602942031604,tstrev
99,99,0.0014042916150719556,number_of_refundable_edu
105,105,0.0013766495225636134,ntnl_school_lunch_program_status_Yes
39,39,0.0013616410619809592,t_curs_sch_admin
112,112,0.0013429289697168582,ntnl_school_lunch_program_status_No
23,23,0.001294636823780766,locr_par_gov_cont
40,40,0.001278408946379769,t_curs_oth
95,95,0.0012766164645836053,num_returns_non_refund_edu
76,76,0.0012429046636931195,toal_income_amount
74,74,0.0012325390169593893,agi
72,72,0.0012079212024160622,num_exemptions
34,34,0.00119101979751463,t_cur_instruction_bene
77,77,0.0010727999343600745,num_returns_salary_wages
31,31,0.0009642497685884694,t_employee_ben
33,33,0.0009125573523942188,t_cur_instruction_sal_wag
91,91,0.0008206404049204022,number_returns_taxable
35,35,0.0008178946487521184,t_cur_support_services
93,93,0.000799224434821499,num_returns_before_credits
75,75,0.0007749253364015738,num_return_total_income
68,68,0.0007700675545664737,num_returns
32,32,0.0007656217395048322,t_cur_instruction
28,28,0.0007486164777262162,total_expenditure
30,30,0.0007136140770140634,t_sal_wage
9,9,0.0006630771456357041,totalrev
108,108,0.0006449465631810763,title_1_eligbility__Yes
106,106,0.0006377753396504893,title_1_eligbility__No
109,109,0.0006129392661475099,school_wide_title_i_eligibility_No
110,110,0.0006076551419404188,school_wide_title_i_eligibility_Not Applicable
29,29,0.0005437716920485403,t_curr_spnd
114,114,0.0004037266445434885,"ntnl_school_lunch_program_status_Yes, under Community Eligibility Option (CEO)"
116,116,0.0001058944849821998,"ntnl_school_lunch_program_status_Yes, under Provision 2"
107,107,3.7848427044658546e-06,title_1_eligbility__Not Applicable
115,115,1.1184080689893277e-06,"ntnl_school_lunch_program_status_Yes, under Provision 1"
48,48,0.0,pct_total_rev
